#,rtl-power-fftw,output,,,
#,Acquisition,start:,2025-03-22,20:03:18,UTC
#,Acquisition,end:,2025-03-22,20:03:28,UTC
#,,,,,
frequency,power,,,,
442371090,-35.9908,,,,
442375000,-35.2763,,,,
442378910,-36.051,,,,
442382810,-36.0538,,,,
442386720,-35.5469,,,,
442390620,-35.2449,,,,
442394530,-35.1518,,,,
442398440,-34.9052,,,,
442402340,-34.6048,,,,
442406250,-34.2367,,,,
442410160,-33.8872,,,,
442414060,-33.4304,,,,
442417970,-33.0308,,,,
442421880,-32.6217,,,,
442425780,-32.0862,,,,
442429690,-31.2389,,,,
442433590,-28.6999,,,,
442437500,-25.0042,,,,
442441410,-28.9538,,,,
442445310,-29.1768,,,,
442449220,-28.6833,,,,
442453120,-27.9703,,,,
442457030,-27.3927,,,,
442460940,-26.6254,,,,
442464840,-25.7494,,,,
442468750,-24.715,,,,
442472660,-23.5109,,,,
442476560,-22.1206,,,,
442480470,-20.4395,,,,
442484380,-18.3956,,,,
442488280,-15.6204,,,,
442492190,-11.4823,,,,
442496090,-3.71619,,,,
442500000,-5.5003,,,,
442503910,-8.58093,,,,
442507810,-14.1797,,,,
442511720,-17.3578,,,,
442515620,-19.7013,,,,
442519530,-21.4961,,,,
442523440,-22.9964,,,,
442527340,-24.2629,,,,
442531250,-25.3659,,,,
442535160,-26.3166,,,,
442539060,-27.124,,,,
442542970,-27.8087,,,,
442546880,-28.3802,,,,
442550780,-29.0894,,,,
442554690,-29.4346,,,,
442558590,-28.5944,,,,
442562500,-24.6038,,,,
442566410,-30.4314,,,,
442570310,-31.8896,,,,
442574220,-32.4956,,,,
442578120,-32.9376,,,,
442582030,-33.296,,,,
442585940,-33.6906,,,,
442589840,-34.1182,,,,
442593750,-34.4733,,,,
442597660,-34.8243,,,,
442601560,-35.0943,,,,
442605470,-35.3094,,,,
442609380,-35.3464,,,,
442613280,-35.834,,,,
442617190,-36.2227,,,,
442621090,-36.1449,,,,
442625000,-35.3279,,,,
442628910,-36.7427,,,,
442632810,-37.3787,,,,
442636720,-37.7051,,,,
442640620,-37.9821,,,,
442644530,-38.2317,,,,
442648440,-38.4538,,,,
442652340,-38.6577,,,,
442656250,-38.8518,,,,
442660160,-39.0601,,,,
442664060,-39.2552,,,,
442667970,-39.4885,,,,
442671880,-39.6944,,,,
442675780,-39.8552,,,,
442679690,-39.9575,,,,
442683590,-39.9561,,,,
442687500,-39.7169,,,,
442691410,-40.2645,,,,
442695310,-40.6583,,,,
442699220,-40.8015,,,,
442703120,-40.9748,,,,
442707030,-41.1343,,,,
442710940,-41.2703,,,,
442714840,-41.433,,,,
442718750,-41.5968,,,,
442722660,-41.7428,,,,
442726560,-41.9004,,,,
442730470,-42.0551,,,,
442734380,-42.1813,,,,
442738280,-42.3042,,,,
442742190,-42.4008,,,,
442746090,-42.4121,,,,
442750000,-42.4001,,,,
442753910,-42.5816,,,,
442757810,-42.7183,,,,
442761720,-42.7864,,,,
442765620,-42.8895,,,,
442769530,-43.0051,,,,
442773440,-43.0567,,,,
442777340,-43.1165,,,,
442781250,-43.2144,,,,
442785160,-43.2515,,,,
442789060,-43.4326,,,,
442792970,-43.5582,,,,
442796880,-43.6521,,,,
442800780,-43.736,,,,
442804690,-43.8148,,,,
442808590,-43.8627,,,,
442812500,-43.9418,,,,
442816410,-43.9741,,,,
442820310,-43.836,,,,
442824220,-42.958,,,,
442828120,-43.1447,,,,
442832030,-43.1911,,,,
442835940,-43.079,,,,
442839840,-42.8225,,,,
442843750,-42.7335,,,,
442847660,-42.5635,,,,
442851560,-43.1826,,,,
442855470,-43.4892,,,,
442859380,-43.5755,,,,
442863280,-43.5449,,,,
442867190,-43.6911,,,,
442871090,-43.7845,,,,
442875000,-43.8201,,,,
442878910,-43.5404,,,,
442882810,-42.238,,,,
442886720,-34.0832,,,,
442890620,-34.702,,,,
442894530,-35.5581,,,,
442898440,-35.7746,,,,
442902340,-35.5595,,,,
442906250,-35.1051,,,,
442910160,-33.6578,,,,
442914060,-36.6097,,,,
442917970,-40.0111,,,,
442921880,-41.6949,,,,
442925780,-42.0653,,,,
442929690,-42.4735,,,,
442933590,-42.8654,,,,
442937500,-42.6911,,,,
442941410,-41.9452,,,,
442945310,-39.87,,,,
442949220,-27.9637,,,,
442953120,-28.9526,,,,
442957030,-29.9082,,,,
442960940,-30.2522,,,,
442964840,-30.2418,,,,
442968750,-29.6293,,,,
442972660,-28.0839,,,,
442976560,-31.8185,,,,
442980470,-37.6234,,,,
442984380,-41.7885,,,,
442988280,-42.535,,,,
442992190,-42.6185,,,,
442996090,-42.1024,,,,
443000000,-40.8362,,,,
443003910,-41.8178,,,,
443007810,-40.9151,,,,
443011720,-35.5242,,,,
443015620,-35.7239,,,,
443019530,-36.6292,,,,
443023440,-37.0247,,,,
443027340,-37.1074,,,,
443031250,-36.7574,,,,
443035160,-35.5929,,,,
443039060,-37.814,,,,
443042970,-42.5984,,,,
443046880,-44.6684,,,,
443050780,-45.0063,,,,
443054690,-44.9101,,,,
443058590,-44.5604,,,,
443062500,-44.4068,,,,
443066410,-44.3957,,,,
443070310,-43.8636,,,,
443074220,-41.6517,,,,
443078120,-40.9864,,,,
443082030,-41.7387,,,,
443085940,-42.1329,,,,
443089840,-42.4451,,,,
443093750,-42.271,,,,
443097660,-41.794,,,,
443101560,-42.5719,,,,
443105470,-45.8222,,,,
443109380,-46.4667,,,,
443113280,-46.7596,,,,
443117190,-46.9497,,,,
443121090,-46.9553,,,,
443125000,-46.9245,,,,
443128910,-46.93,,,,
443132810,-46.7222,,,,
443136720,-45.8963,,,,
443140620,-45.2942,,,,
443144530,-45.7239,,,,
443148440,-45.8932,,,,
443152340,-46.0307,,,,
443156250,-45.9938,,,,
443160160,-45.7456,,,,
443164060,-45.8733,,,,
443167970,-47.5421,,,,
443171880,-47.1907,,,,
443175780,-47.4878,,,,
443179690,-47.6298,,,,
443183590,-47.7719,,,,
443187500,-47.8624,,,,
443191410,-47.8662,,,,
443195310,-47.8224,,,,
443199220,-47.6526,,,,
443203120,-47.4777,,,,
443207030,-47.4638,,,,
443210940,-47.4141,,,,
443214840,-47.4196,,,,
443218750,-47.3063,,,,
443222660,-47.0278,,,,
443226560,-46.7213,,,,
443230470,-47.8499,,,,
443234380,-46.8227,,,,
443238280,-47.0378,,,,
443242190,-47.288,,,,
